season,playerId,team,player_name,weighted_avg,recent_form,form_change
2023,1009199,Gold Coast SUNS,Noah Anderson,16.2461753623188,16.2461753623188,0
2023,1020895,Hawthorn,Jai Newcombe,15.1509329545454,15.1509329545454,0
2023,298210,Melbourne,Christian Petracca,16.530743,16.530743,0
2023,1002267,North Melbourne,Luke Davies-Uniacke,15.750405952381,15.750405952381,0
2023,1006121,Port Adelaide,Zak Butters,16.5563483333333,16.5563483333333,0
2023,993993,Richmond,Shai Bolton,15.0831028985507,15.0831028985507,0
2023,994389,St Kilda,Jack Sinclair,15.9712,15.9712,0
2023,1013128,Sydney Swans,Errol Gulden,15.515178125,15.515178125,0
2023,295898,West Coast Eagles,Tim Kelly,13.9033212121212,13.9033212121212,0
2023,297373,Western Bulldogs,Marcus Bontempelli,18.711340942029,18.711340942029,0
2024,1001195,Adelaide Crows,Izak Rankine,16.6407622222222,16.6407622222222,0
2024,293535,Brisbane Lions,Lachie Neale,16.8021689102564,16.8021689102564,0
2024,990704,Carlton,Patrick Cripps,18.3049045138889,18.3049045138889,0
2024,1023261,Collingwood,Nick Daicos,16.7782612318841,16.7782612318841,0
2024,992016,Essendon,Zach Merrett,15.6068036231884,15.6068036231884,0
2024,1009420,Fremantle,Caleb Serong,16.9801967391304,16.9801967391304,0
2024,296347,GWS GIANTS,Josh Kelly,14.6944426470588,14.6944426470588,0
2024,1015889,Geelong Cats,Max Holmes,14.870192,14.870192,0
2024,1009208,Gold Coast SUNS,Matt Rowell,16.1505355072464,16.1505355072464,0
2024,1020895,Hawthorn,Jai Newcombe,15.0798046666667,15.0798046666667,0
2024,290528,Melbourne,Max Gawn,17.2100968253968,17.2100968253968,0
2024,1004965,North Melbourne,Tristan Xerri,16.1250601449275,16.1250601449275,0
2024,1006121,Port Adelaide,Zak Butters,15.5831810897436,15.5831810897436,0
2024,298174,Richmond,Toby Nankervis,12.9120182539683,12.9120182539683,0
2024,994389,St Kilda,Jack Sinclair,14.9499265151515,14.9499265151515,0
2024,298539,Sydney Swans,Isaac Heeney,17.30616875,17.30616875,0
2024,292128,West Coast Eagles,Elliot Yeo,13.89383375,13.89383375,0
2024,297373,Western Bulldogs,Marcus Bontempelli,19.0839045138889,19.0839045138889,0
2025,992242,Adelaide Crows,Jordan Dawson,14.037835,14.037835,0
2025,1000978,Brisbane Lions,Hugh McCluggage,15.8777962962963,15.8777962962963,0
2025,294036,Carlton,George Hewett,13.8318666666667,13.8318666666667,0
2025,1023261,Collingwood,Nick Daicos,15.6138563333333,15.6138563333333,0
2025,992016,Essendon,Zach Merrett,14.5601450757576,14.5601450757576,0
2025,1009420,Fremantle,Caleb Serong,16.6541763888889,16.6541763888889,0
2025,1009528,GWS GIANTS,Tom Green,16.6148094202899,16.6148094202899,0
2025,1015889,Geelong Cats,Max Holmes,15.8300583333333,15.8300583333333,0
2025,1009199,Gold Coast SUNS,Noah Anderson,17.3630996666667,17.3630996666667,0
2025,1008550,Hawthorn,Will Day,15.2342652777778,15.2342652777778,0
2025,290528,Melbourne,Max Gawn,15.3768105072464,15.3768105072464,0
2025,1004965,North Melbourne,Tristan Xerri,17.47328625,17.47328625,0
2025,1006121,Port Adelaide,Zak Butters,15.92154375,15.92154375,0
2025,298174,Richmond,Toby Nankervis,12.9942662878788,12.9942662878788,0
2025,1015507,St Kilda,Nasiah Wanganeen-Milera,15.8968126811594,15.8968126811594,0
2025,298539,Sydney Swans,Isaac Heeney,16.7485210144928,16.7485210144928,0
2025,1000223,West Coast Eagles,Liam Baker,11.2502514492754,11.2502514492754,0
2025,297373,Western Bulldogs,Marcus Bontempelli,19.799216666666702,19.799216666666702,0
