Club,season,squad_age_avg,squad_age_yoy,squad_experience_avg_games,squad_experience_yoy,squad_turnover_players,squad_turnover_yoy
Western Bulldogs,1997,23.2,-0.3,43.2,-8.8,10,0
Western Bulldogs,1998,23.6,0.4,52.2,9,6,-3
Western Bulldogs,1999,23.8,0.2,61.6,9.4,9,-1
Western Bulldogs,2000,23.8,0,62,0.4,10,4
Western Bulldogs,2001,23.7,-0.1,65.1,3.1,6,-3
Western Bulldogs,2002,23.3,-0.4,58.3,-6.8,9,-1
Western Bulldogs,2003,23.3,0,62.7,4.4,6,0
Western Bulldogs,2004,23.5,0.2,64.2,1.5,8,-1
Western Bulldogs,2005,23.4,-0.1,64.5,0.3,5,-1
Western Bulldogs,2006,23.7,0.3,67.9,3.4,5,-3
Western Bulldogs,2007,23.8,0.1,72.8,4.9,7,2
Western Bulldogs,2008,23.3,-0.5,63,-9.8,9,4
Western Bulldogs,2009,23.3,0,62.3,-0.7,3,-4
Western Bulldogs,2010,24.1,0.8,72.1,9.8,5,-4
Western Bulldogs,2011,23.8,-0.3,62.9,-9.2,8,5
Western Bulldogs,2012,23.6,-0.2,56.1,-6.8,5,0
Western Bulldogs,2013,23.5,-0.1,52.8,-3.3,8,0
Western Bulldogs,2014,23.9,0.4,56.2,3.4,5,0
Western Bulldogs,2015,23.3,-0.6,42.9,-13.3,9,1
Western Bulldogs,2016,23.6,0.3,57.2,14.3,5,0
Western Bulldogs,2017,23.8,0.2,62.3,5.1,5,-4
Western Bulldogs,2018,23.8,0,56.4,-5.9,6,1
Western Bulldogs,2019,23.9,0.1,57.6,1.2,7,2
Western Bulldogs,2020,24.2,0.3,59,1.4,5,-1
Western Bulldogs,2021,24.7,0.5,66,7,5,-2
Western Bulldogs,2022,25,0.3,72.4,6.4,4,-1
Western Bulldogs,2023,25.2,0.2,72.6,0.2,6,1
Western Bulldogs,2024,24.8,-0.4,74.5,1.9,7,3
Western Bulldogs,2025,25,0.2,74.9,0.4,6,0
