team,season,salary,playerId,player_name,rating,AA
GWS GIANTS,2025,654396.7256103727,1019038,Aaron Cadman,8.943172056372068,0.3316389806945672
Sydney Swans,2025,457841.18750919984,990816,Aaron Francis,6.256988084054647,0.04427460142727746
Western Bulldogs,2025,815354.782921213,1002404,Aaron Naughton,11.142870716305925,0.4377626098916215
Carlton,2025,803011.3637397048,1002239,Adam Cerra,10.974182033762183,0.27323884595042014
Carlton,2025,576067.8210956135,295461,Adam Saad,7.872706935371887,0.05040396447125517
North Melbourne,2025,585523.2385806737,294508,Aidan Corr,8.00192736408789,0.04437316524814405
Melbourne,2025,391812.6033129419,1024173,Aidan Johnson,5.354622644259688,0.01858705677959971
Carlton,2025,268246.4826307909,1016268,Alex Cincotta,3.6659328413451324,0.003354094801869545
Gold Coast SUNS,2025,622007.3300032947,1013268,Alex Davies,8.500529349922363,0.14021410470937823
Adelaide Crows,2025,590088.4148441041,296420,Alex Neal-Bullen,8.06431636328932,0.04330547812158325
Fremantle,2025,906809.7240219067,298409,Alex Pearce,12.392719992226437,0.06684953932230231
Gold Coast SUNS,2025,182474.03280606322,294643,Alex Sexton,2.493742109853304,0
Port Adelaide,2025,796379.3432007679,294469,Aliir Aliir,10.883546951953386,0.056549914651530586
Fremantle,2025,957872.8354038892,1002232,Andrew Brayshaw,13.09056301764319,0.44481439351987306
Essendon,2025,712601.7884307017,998102,Andrew McGrath,9.738619024522205,0.221136633280704
Essendon,2025,NA,1027284,Angus Clarke,NA,0
St Kilda,2025,392371.4789048892,1027872,Angus Hastie,5.362260397294333,0.019628503912250683
Sydney Swans,2025,584364.9620670507,1020339,Angus Sheldrick,7.98609802731894,0.0842286915006013
St Kilda,2025,648897.6599118477,1023784,Anthony Caminiti,8.868020258133265,0.23832855919210116
Essendon,2025,NA,1029265,Archer Day-Wicks,NA,0
West Coast Eagles,2025,370027.95875166496,1027693,Archer Reid,5.056907486353462,0.15590949285235334
Essendon,2025,623647.5078917949,1015873,Archie Perkins,8.522944488149458,0.09585912486415327
Essendon,2025,693294.3953498444,1023515,Archie Roberts,9.474758690989725,0.2971326478836459
Carlton,2025,356970.51956845506,1020097,Ashton Moir,4.878460803078663,0.08274259037043086
Fremantle,2025,467028.9413369864,998180,Bailey Banfield,6.382550544986654,0.06727745681392527
Western Bulldogs,2025,980179.0622731028,996708,Bailey Dale,13.39540626794182,0.286579443438021
Gold Coast SUNS,2025,745380.6967124676,1023500,Bailey Humphrey,10.186584922136445,0.6399351333763152
Hawthorn,2025,417802.626345793,1029261,Bailey Macdonald,5.7098097022558365,0.06437739405099263
North Melbourne,2025,285676.95445168397,1006058,Bailey Scott,3.904142634300002,0.011924091000713677
Geelong Cats,2025,825706.0611882838,1006130,Bailey Smith,11.284334233653835,0.5267918617024832
Western Bulldogs,2025,750869.3076807928,992351,Bailey Williams,10.26159384305432,0.07517302882744303
Western Bulldogs,2025,750869.3076807928,992351,Bailey Williams,10.26159384305432,0.07517302882744303
Melbourne,2025,772787.509633354,1001438,Bayley Fritsch,10.56113423431351,0.06928393481670547
Collingwood,2025,610920.7260022612,1004757,Beau McCreery,8.3490166616374,0.00855222615770379
Gold Coast SUNS,2025,492469.3383777591,998130,Ben Ainsworth,6.730226257614705,0.014316575431911227
Essendon,2025,397361.6758866181,1017088,Ben Hobbs,5.430457850698709,0.05994120253978852
Adelaide Crows,2025,635512.7641533455,993946,Ben Keays,8.68509846002488,0.079279418401072
Gold Coast SUNS,2025,742636.6282218116,1006144,Ben King,10.149083700498279,0.4080973125228875
Gold Coast SUNS,2025,635221.6781304191,993917,Ben Long,8.681120395520038,0.09380423790134107
Essendon,2025,620646.0230247409,1002143,Ben McKay,8.481925340986665,0.08087400383524179
Richmond,2025,721786.5272590129,1002403,Ben Miller,9.864140281612562,0.20088476894406815
Collingwood,2025,707459.9785772968,991773,Billy Frampton,9.668349586426746,0.11651981837954173
Carlton,2025,434498.06606025464,296294,Blake Acres,5.937974337071135,0.005639981183921838
Hawthorn,2025,669414.6340328406,993794,Blake Hardwick,9.148411070708054,0.02947613166587193
Melbourne,2025,434647.7706811598,1017122,Blake Howes,5.9400202430636195,0.018685076990439864
West Coast Eagles,2025,418543.38751356537,1028449,Bo Allan,5.71993315537961,0.013551001656464612
Collingwood,2025,563509.8303738264,1006148,Bobby Hill,7.70108585703823,0.11325508222962755
Gold Coast SUNS,2025,684966.791920901,1017665,Bodhi Uwland,9.360951290421195,0.2258484461517607
Geelong Cats,2025,539461.1001403619,999326,Brad Close,7.372429059413598,0.11415381330861374
West Coast Eagles,2025,505019.79419088154,1023167,Brady Hough,6.901744361740239,0.07898285738628241
Sydney Swans,2025,545711.1818769367,1013133,Braeden Campbell,7.457844456754472,0.013717626843453234
Brisbane Lions,2025,495375.61692620383,1002401,Brandon Starcevich,6.769944288107968,0.06854231678646772
Port Adelaide,2025,630520.1361140772,1004034,Brandon Zerk-Thatcher,8.616867783095685,0.07665559828191859
Gold Coast SUNS,2025,749009.0930123932,993799,Brayden Fiorini,10.236171619515886,0.05901724861311197
Collingwood,2025,722843.3603428609,992010,Brayden Maynard,9.878583263574159,0.10030150866279197
Fremantle,2025,675295.1472006803,997033,Brennan Cox,9.2287758387174,0.12282888203459297
GWS GIANTS,2025,518867.4020953872,1002251,Brent Daniels,7.090989715838951,0.04155154482611334
Sydney Swans,2025,758333.8684579023,293957,Brodie Grundy,10.363606656906148,0.03512216840146887
Carlton,2025,440502.1043351349,1009241,Brodie Kemp,6.020027234379285,0.041567714489234686
