Club,year,actual_rank,forecast_a_rank,forecast_b_rank,finish_1_p10,finish_1_p25,finish_1_p75,finish_1_p90,finish_2_p10,finish_2_p25,finish_2_p75,finish_2_p90
North Melbourne,2015,8,7.803317185758915,8.295038022956307,1,2,12,15,1,3,14,16
Port Adelaide,2015,9,7.257980403273316,8.251185131935133,3,3,10,15,1,4,15,16
Richmond,2015,5,5.435628981619907,8.019961425549994,1,2,6,15,3,4,12,13
St Kilda,2015,14,11.777781682277922,9.014484834505307,8,8,15,16,4.815814642052317,5,12,14
Sydney,2015,4,9.466705327759657,10.290481213516133,2,9,11,16,2.1076672583390987,5,15,15
West Coast,2015,2,5.646900745079936,5.963205753801094,1,2,9,10,1,1,10,11
Western Bulldogs,2015,6,9.744534725266774,7.401044601151709,5,7.423475328622558,12,16,4,5,10,10
Adelaide,2016,5,7.675225853864,6.19977683622896,1,3.2218600279027356,11,13,1,3,9,10
Brisbane Lions,2016,17,13.366751224797271,12.833348540909178,9.353255289274092,10,18,18,8.109070760135566,10,16.81803070101674,17
Carlton,2016,14,10.44423836007443,9.464364661450562,6,8,13,14,6,7,11,16
Collingwood,2016,12,7.246886432133792,8.950051557315758,3,4,10,16,2,6,14,17
Essendon,2016,18,13.844671000633324,11.160579361780027,11,12,16,16,8.325988808030989,9,12,16
Fremantle,2016,16,11.362573647507755,9.948869569758502,1,5.465151433522848,18,18,2,5,15,17
Geelong,2016,2,6.557840009702788,6.719982531922034,1,1,10,13,3,3,12,13
Gold Coast,2016,15,11.647832837904208,8.305461451251617,5,11,15,17,2,4,13,16
Greater Western Sydney,2016,4,9.04039864401221,7.845827941700124,1,6,17,17,3,3,10,13
Hawthorn,2016,3,7.117966781381859,8.371773501669901,1.1326641980663261,2,16,16,1,4,14,15
Melbourne,2016,11,9.07913609693913,9.032486726575648,4,6,12,16,2,7,15,15
North Melbourne,2016,8,6.196160040581716,9.322875578125883,1,2,10,16,4,5,15,15
Port Adelaide,2016,10,7.334795076222431,6.35213225026456,5,5,11.86365574985615,13,1,3,8,13
Richmond,2016,13,8.004888080327483,6.759688423922271,5,6,10,10,1,3,10,15
St Kilda,2016,9,11.210532404403551,10.704291725252835,7,8,15,15,3,6,15,17
Sydney,2016,1,4.5853780913314095,4.437358373675587,1,1,9,10.752351551249376,1,1,9,9.752351551249433
West Coast,2016,6,6.277125945221853,8.886083096979728,1,2,10,10,2,4,16,17
Western Bulldogs,2016,7,4.993959706776029,5.650527208470047,1,2,9,9,2,3,7,9
Adelaide,2017,1,4.848372558618577,4.898810500397898,1,2,6,13,1,1,9,10
Brisbane Lions,2017,18,11.842465734345284,12.250057542896664,8.557264118171318,9,14,16,8,10,15,17
Carlton,2017,16,10.681693140969985,7.611260398870762,6,9,14,14,5,6,9,11
Collingwood,2017,13,7.527601965659355,7.789813240329424,1,3,15,16,2,4,12,15
Essendon,2017,8,8.832104194864526,10.758962840523223,3,6,11,14,4,5,16,16
Fremantle,2017,14,9.955484638043954,9.068459463266693,6,8,13,16,4,7,12,14
Geelong,2017,2,6.812374957863732,6.790808399833855,2,5,9,12,2,4,9,16
Gold Coast,2017,17,10.338618134237903,7.6567497145017125,6,8,12,15,3,5,11,11
